Source,Target,Type,Id,Label,timeset,Weight
273,2,Unidirected,845,,,63
273,4,Unidirected,846,,,92
274,1,Unidirected,847,,,51
274,3,Unidirected,848,,,23
274,2,Unidirected,849,,,26
274,4,Unidirected,850,,,29
275,1,Unidirected,851,,,36
275,3,Unidirected,852,,,5
275,2,Unidirected,853,,,23
275,4,Unidirected,854,,,7
276,1,Unidirected,855,,,2
277,1,Unidirected,856,,,2
278,1,Unidirected,857,,,3
279,1,Unidirected,858,,,2
280,1,Unidirected,859,,,31
280,2,Unidirected,860,,,7
280,3,Unidirected,861,,,2
281,1,Unidirected,862,,,22
281,2,Unidirected,863,,,11
281,3,Unidirected,864,,,6
281,4,Unidirected,865,,,4
282,1,Unidirected,866,,,30
